Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,50420,-28.174263,162,,,,,,
,,,,,50511,-93.782196,91,,,,,,
,,,,,50625,-47.91943,114,,,,,,
,,,,,50739,-80.242645,114,,,,,,
,,,,,50835,-36.303185,96,,,,,,
,,,,,50937,-91.485954,102,,,,,,
,,,,,51000,,,10.255657196044922,10.363333702087402,9.790406227111816,72.9228744506836,0.694,0.001
,,,,,51047,-133.42343,110,,,,,,
,,,,,51164,-68.01076,117,,,,,,
,,,,,51237,-41.337467,73,,,,,,
,,,,,51321,-69.98933,84,,,,,,
,,,,,51436,-50.085968,115,,,,,,
,,,,,51529,-50.143463,93,,,,,,
,,,,,51648,-50.645008,119,,,,,,
,,,,,51752,-99.91874,104,,,,,,
,,,,,51833,-82.41922,81,,,,,,
,,,,,51942,-69.023575,109,,,,,,
,,,,,52000,,,3.153989791870117,15.972697257995605,16.611228942871094,58.38645935058594,0.688,0.001
